Gene Symbol,p-value,Fold-change,Comparison,Experiment,Tissue
Btnl1,0.161855,1.1552,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btnl10,0.479111,1.08351,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btnl2,0.562583,-1.04045,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btnl4,0.84205,1.02226,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btnl5-ps,0.555451,-1.0718,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btnl6,0.622787,1.04822,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btnl9,0.303496,-1.09791,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Btrc,0.323347,1.02765,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bub1,0.599242,-1.04358,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bub1b,0.159727,1.46187,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bub3,0.754546,1.0134,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bud13,0.583212,1.02714,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bud31,0.628458,1.04054,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bves,0.451016,1.05508,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bysl,0.142524,-1.12953,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bzrap1,0.0681851,-1.1198,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bzw1,0.07261,1.10113,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Bzw2,0.526987,1.0287,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C030006K11Rik,0.0964728,-1.13566,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C030034I22Rik,0.69254,-1.04935,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C030037D09Rik,0.00149235,1.19893,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C030037F17Rik,0.331311,1.08085,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C030039L03Rik,0.00493172,1.11967,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C030048H21Rik,0.39846,1.10887,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130026I21Rik,0.40102885,-1.090315,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130026L21Rik,0.415004,-1.05253,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130032M10Rik,0.0302828,-1.18943,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130050O18Rik,0.0994862,-1.13152,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130060K24Rik,0.396649,1.06129,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130073F10Rik,0.852267,1.01456,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130074G19Rik,0.165478,-1.15617,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C130079G13Rik,0.0113624,-1.17903,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1d,0.0290921,1.16815,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1galt1,0.144627,1.13464,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1galt1c1,0.00446118,1.18786,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qa,0.521835,1.06956,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qb,0.360132,1.08598,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qbp,0.21721,-1.05938,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qc,0.0284194,1.27359,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1ql1,0.0280372,-1.19022,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1ql2,0.0925312,-1.1787,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1ql3,0.398765,1.09601,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1ql4,0.0985321,-1.13857,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf1,0.345386,-1.04391,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf2,0.0578163,-1.14088,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf3,0.395479,1.09023,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf4,0.126683,-1.20899,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf5,0.261703,-1.06452,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf6,0.032328,-1.37325,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf7,0.477067,-1.10454,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1qtnf9,0.60587,-1.04532,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1ra,0.352913,1.07178,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1rb,0.136402,1.10393,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1rl,0.308613,-1.10319,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1s1,0.353116,1.10371,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C1s2,0.325832,1.07602,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2,0.09723645,1.24659,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C230004F18Rik,0.0607409,1.14587,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C230062I16Rik,0.0797624,-1.11372,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd2,0.634026,-1.0347,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd2l,0.0346632,-1.17179,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd3,0.01196,1.14037,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd4a,0.090425,-1.19068,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd4b,0.46704,-1.06709,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd4c,0.0348877,-1.36082,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd4d,0.833315,1.02615,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C2cd5,0.466153,1.04237,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C3,0.0328406,1.289,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C330006A16Rik,7.04E-05,-1.63146,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C330007P06Rik,0.176791,1.05848,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C330013J21Rik,0.20544,1.10158,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C330018D20Rik,0.0278263,1.22751,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C330021F23Rik,0.03567,0.027305,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C330027C09Rik,0.0237826,1.19978,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C3ar1,0.106553,1.13023,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C4a,0.1038,1.22092,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C4b,0.217957,1.12775,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C4bp,0.471319,1.04802,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C530008M17Rik,0.0478915,-1.143,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C530025M09Rik,0.0629776,-1.14039,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C5ar1,0.463003,-1.05725,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C5ar2,0.431641,1.08177,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C6,0.13949,-1.10598,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C7,0.94623,1.00861,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C77080,0.0551202,-1.15427,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C77370,0.0163856,1.16289,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C87414,0.472215,-1.078825,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C87436,0.132255,1.11386,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C87499,0.16214,1.13373,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C87977,0.356769,-1.08604,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C8a,0.87846,-1.01686,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C8b,0.0636355,-1.19043,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C8g,0.327036,-1.08002,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C9,0.190756,-1.0876,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C920006O11Rik,0.524742,1.04894,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C920021L13Rik,0.125523,-1.16853,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
C920025E04Rik,0.124123,-1.1514,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
CK137956,0.00499234,1.25083,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
CN725425,0.761441,-1.02605,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
COX1,0.0198036,1.10303,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
COX2,0.138353,1.05752,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Caap1,0.324218,1.0594,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cab39,0.331158,1.05134,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cab39l,0.0017336,1.16059,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabin1,0.00928276,-1.19739,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cables1,0.774365,-1.02178,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cables2,0.000918848,-1.32578,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabp1,0.0898258,-1.14116,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabp2,0.0801276,-1.15677,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabp4,0.12263,-1.09103,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabp5,0.246076,-1.10776,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabp7,0.616646,-1.05539,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabs1,0.90693,1.00672,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cabyr,0.00116236,1.31015,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacfd1,0.0284321,-1.15219,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cachd1,0.589767,-1.03422,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1a,0.00141796,-1.25971,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1b,0.0353568,-1.26369,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1c,0.382311,-1.04808,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1d,0.459359,-1.07237,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1e,0.634219,-1.03392,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1f,0.186602,-1.09781,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1g,0.00696345,-1.26551,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1h,0.000496041,-1.28181,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1i,0.0114726,-1.17907,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna1s,0.0601643,-1.27183,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna2d1,0.652476,-1.0373,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna2d2,0.412213,-1.06341,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna2d3,0.802482,1.02281,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacna2d4,0.118477,-1.17391,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacnb1,0.0590886,-1.13806,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacnb2,0.656896,1.01981,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacnb3,9.43E-05,-1.43412,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacnb4,0.0332447,1.15129,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng1,0.459884,1.05972,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng2,0.0193603,-1.18708,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng3,0.334209,-1.10282,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng4,0.00892717,-1.18449,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng5,0.717162,-1.03528,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng6,0.735788,1.01503,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng7,0.00278455,-1.20644,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacng8,0.0418175,-1.18894,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cactin,0.90984,-1.00787,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacul1,0.0703147,1.101,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cacybp,0.0543067,1.14291,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cad,0.431062,-1.10013,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cadm1,0.311371,1.03167,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cadm2,0.602034,1.03918,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cadm3,0.000327026,-1.23825,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cadm4,0.0667041,-1.12931,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cadps,0.0985415,1.07496,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cadps2,0.00365955,1.14465,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cage1,0.0105256,1.2675,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calb1,0.646681,-1.03916,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calb2,0.716444,-1.03235,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calca,0.636245,1.06225,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calcb,0.399038,1.04982,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calcoco1,0.376378,-1.04424,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calcoco2,0.861342,1.01822,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calcr,0.48507,1.05583,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calcrl,0.0787907,1.19787,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Cald1,0.799585,-1.0237,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calhm1,0.804861,1.02072,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calhm2,0.894497,1.01099,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calhm3,0.930677,1.00948,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calm1,0.8802,-1.00393,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calm2,0.0915614,1.04715,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calm3,0.511405,-1.02024,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calm4,0.368207,-1.07085,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calm5,0.484974,-1.04731,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calml3,0.573417,-1.06612,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calml4,0.697262,-1.04418,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Caln1,0.856975,-1.01943,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calr,0.194863,-1.03994,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calr3,0.321631,1.12829,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calr4,0.463887,1.05448,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Calu,0.0249033,1.17022,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Caly,0.382108,-1.05649,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk1,0.124492,-1.07605,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk1d,0.226153,-1.0661,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk1g,0.606038,-1.05312,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk2a,0.172607,-1.09577,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk2b,0.0922338,-1.07677,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk2d,0.71572,-1.01648,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk2g,0.222121,-1.03657,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk2n1,0.103958,-1.13176,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk2n2,0.00612764,-1.27783,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camk4,0.66455,1.04666,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camkk1,0.435987,-1.0534,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camkk2,0.124286,-1.22578,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camkmt,0.326387,1.04906,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camkv,0.0181743,-1.21968,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Caml,0.710313,1.01544,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camp,0.758018,-1.03338,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camsap1,0.668887,-1.01596,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
Camsap2,0.00377261,1.08292,Pac1 KO Non-stressed vs Pacap KO Non-stressed,2019.03 1hr restraint hypothalamus,Hypothalamus
